model;features;tree_constraints;cross_constraints;valid;invalid
EC2;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_14_15], FeatureId[_r_1_14_16], FeatureId[_r_2], FeatureId[_r_2_7_8], FeatureId[_r_2_7_9], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_5_17_18], FeatureId[_r_3_4_5_17_18_21_22], FeatureId[_r_3_4_5_17_18_21_23], FeatureId[_r_3_4_5_17_18_21_24], FeatureId[_r_3_4_5_17_19], FeatureId[_r_3_4_5_17_19_26_27], FeatureId[_r_3_4_5_17_19_26_28], FeatureId[_r_3_4_5_17_20], FeatureId[_r_3_4_5_17_20_29_30], FeatureId[_r_3_4_5_17_20_29_31], FeatureId[_r_3_4_6]];15;0;32;1048544
test_fm;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_11], FeatureId[_r_11_12], FeatureId[_r_11_13], FeatureId[PLC]];9;0;8;4088
Cell Phone;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_1_3], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_8], FeatureId[_r_6_9], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_15], FeatureId[_r_10_11_15_16_17], FeatureId[_r_10_11_15_16_18]];10;2;61;32707
Context Feature Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_5_9_10], FeatureId[_r_1_4_5_9_11], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_1_4_7_15_16], FeatureId[_r_1_4_7_15_17], FeatureId[_r_1_4_7_15_18], FeatureId[_r_1_4_23], FeatureId[_r_1_4_24], FeatureId[_r_2], FeatureId[_r_2_14], FeatureId[_r_2_15], FeatureId[_r_2_15_23_24], FeatureId[_r_2_15_23_28], FeatureId[_r_2_15_23_28_29_30], FeatureId[_r_2_15_23_28_29_31], FeatureId[_r_2_32]];12;0;4800;1043776
Project Portal Suite;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_9], FeatureId[_r_1_13], FeatureId[_r_1_14], FeatureId[_r_1_15], FeatureId[_r_1_15_16], FeatureId[_r_1_15_17], FeatureId[_r_1_15_18], FeatureId[_r_1_15_20], FeatureId[_r_1_21], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8]];4;0;16384;245760
Mobile Phone;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_1_3_5_6], FeatureId[_r_1_3_5_7], FeatureId[_r_1_8], FeatureId[_r_1_9], FeatureId[_r_1_10], FeatureId[_r_11], FeatureId[_r_11_12], FeatureId[_r_11_12_14_15], FeatureId[_r_11_12_14_16], FeatureId[_r_11_13], FeatureId[_r_17], FeatureId[_r_17_18], FeatureId[_r_17_19], FeatureId[_r_20], FeatureId[_r_20_21], FeatureId[_r_20_22]];14;1;162;1048414
VOD feature model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_3], FeatureId[_r_3_8], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7]];6;3;32;2016
VODPlayer;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_13], FeatureId[_r_8], FeatureId[_r_8_14], FeatureId[_r_8_15], FeatureId[_r_16], FeatureId[_r_17], FeatureId[_r_17_24_25], FeatureId[_r_17_24_26]];5;0;48;976
CIMS PL;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_2_14], FeatureId[_r_2_15], FeatureId[_r_2_16], FeatureId[_r_2_18], FeatureId[_r_3], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7]];10;0;1;1023
SoftwareClassification;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_4_5], FeatureId[_r_1_2_4_6], FeatureId[_r_1_2_4_6_7_8], FeatureId[_r_1_2_4_6_7_9], FeatureId[_r_1_2_4_6_7_10], FeatureId[_r_1_2_4_6_7_10_11_12], FeatureId[_r_1_2_4_6_7_10_11_13], FeatureId[_r_1_2_4_6_7_10_14_15], FeatureId[_r_1_2_4_6_7_10_14_16], FeatureId[_r_1_2_4_6_7_10_17_18], FeatureId[_r_1_2_4_6_7_10_17_19], FeatureId[_r_1_2_4_6_7_10_20_21], FeatureId[_r_1_2_4_6_7_10_20_22], FeatureId[_r_1_3]];11;0;28;65508
Stacja Pogodowa;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_6_26_27], FeatureId[_r_6_26_28], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_11_12_13], FeatureId[_r_10_11_12_14], FeatureId[_r_10_15_16], FeatureId[_r_10_15_17], FeatureId[_r_10_15_22], FeatureId[_r_10_15_22_23_24], FeatureId[_r_10_15_22_23_25], FeatureId[_r_18], FeatureId[_r_18_19_20], FeatureId[_r_18_19_21]];13;0;448;1048128
Small Graph Product Line;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_19], FeatureId[_r_1_5_6], FeatureId[_r_1_5_18], FeatureId[_r_8], FeatureId[_r_8_9_10], FeatureId[_r_8_9_20], FeatureId[_r_12], FeatureId[_r_12_13_14], FeatureId[_r_12_13_16], FeatureId[_r_12_13_16_20_21], FeatureId[_r_12_13_16_20_22], FeatureId[_r_12_13_17], FeatureId[_r_12_13_18], FeatureId[_r_12_13_19]];10;3;308;130764
GoPhone Inc;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_7], FeatureId[_r_1_16], FeatureId[_r_2], FeatureId[_r_2_3], FeatureId[_r_2_3_6], FeatureId[_r_2_4], FeatureId[_r_5], FeatureId[_r_9], FeatureId[_r_9_10], FeatureId[_r_9_11], FeatureId[_r_12], FeatureId[_r_12_13], FeatureId[_r_12_14], FeatureId[_r_12_15]];6;0;3150;62386
Card Product;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_15], FeatureId[_r_2_16], FeatureId[_r_2_17], FeatureId[_r_2_18], FeatureId[_r_2_19], FeatureId[_r_3], FeatureId[_r_3_14], FeatureId[_r_4], FeatureId[_r_4_11], FeatureId[_r_4_12], FeatureId[_r_4_13], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_5_7], FeatureId[_r_8], FeatureId[_r_8_9], FeatureId[_r_8_10]];11;0;640;1047936
Web Content Delivery;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_9_15_16], FeatureId[_r_7_8_9_15_20], FeatureId[_r_7_8_10], FeatureId[_r_21], FeatureId[_r_22], FeatureId[_r_22_23_24], FeatureId[_r_22_23_25]];9;6;23;32745
AvionFEatures;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_3_4], FeatureId[_r_2_3_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_8_9_10], FeatureId[_r_8_9_11]];8;0;12;1012
Phone sple;[FeatureId[_r], FeatureId[_r_6_7], FeatureId[_r_6_7_9], FeatureId[_r_6_7_9_10_11], FeatureId[_r_6_7_9_10_15], FeatureId[_r_6_7_9_10_16], FeatureId[_r_6_8], FeatureId[_r_6_8_19], FeatureId[_r_6_8_19_20_21], FeatureId[_r_6_8_19_20_23]];8;3;27;997
Respaldo de base de datos (Poda);[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_2_5], FeatureId[_r_2_6], FeatureId[_r_2_7], FeatureId[_r_2_8], FeatureId[_r_2_8_9], FeatureId[_r_2_8_11], FeatureId[_r_2_8_12], FeatureId[_r_2_8_13], FeatureId[_r_2_8_14], FeatureId[_r_2_8_15], FeatureId[_r_2_10], FeatureId[_r_3], FeatureId[_r_3_16], FeatureId[_r_3_17], FeatureId[_r_3_19], FeatureId[_r_4], FeatureId[_r_4_20], FeatureId[_r_4_21]];20;0;2;1048574
Asghar;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_9_10], FeatureId[_r_2_9_10_12_13], FeatureId[_r_2_9_10_12_14], FeatureId[_r_2_9_10_12_15], FeatureId[_r_2_9_11], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6]];8;0;32;2016
Coff Feature Model;[FeatureId[_r], FeatureId[_r_6], FeatureId[_r_6_12_13], FeatureId[_r_6_12_14], FeatureId[_r_6_16_17], FeatureId[_r_6_16_18], FeatureId[_r_6_16_19], FeatureId[_r_6_20], FeatureId[_r_9], FeatureId[_r_9_21_22], FeatureId[_r_9_21_23], FeatureId[_r_10], FeatureId[_r_10_15], FeatureId[_r_11], FeatureId[_r_24]];7;0;1512;31256
FIRE-ALARM;[FeatureId[_r], FeatureId[_r_67], FeatureId[_r_67_40], FeatureId[_r_67_40_45_46], FeatureId[_r_67_40_45_46_48_49], FeatureId[_r_67_40_45_46_48_50], FeatureId[_r_67_40_45_47], FeatureId[_r_67_40_45_47_51_52], FeatureId[_r_67_40_45_47_51_53], FeatureId[_r_67_42], FeatureId[_r_67_42_54_55], FeatureId[_r_67_42_54_55_57_58], FeatureId[_r_67_42_54_55_57_62], FeatureId[_r_67_42_54_56], FeatureId[_r_67_42_54_56_59_60], FeatureId[_r_67_42_54_56_59_61], FeatureId[_r_92], FeatureId[_r_92_93_94], FeatureId[_r_92_93_95]];16;4;18;524270
Eshop-ufrj;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_5_6], FeatureId[_r_2_5_7], FeatureId[_r_3], FeatureId[_r_3_8_9], FeatureId[_r_3_8_10], FeatureId[_r_4], FeatureId[_r_4_11_12], FeatureId[_r_4_11_13], FeatureId[_r_4_11_14]];8;0;48;4048
Phone;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_14], FeatureId[_r_14_16], FeatureId[_r_14_17], FeatureId[_r_14_18], FeatureId[_r_15], FeatureId[_r_15_19], FeatureId[_r_15_20]];4;3;46;978
Ökonomische Merkmale;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_5_7], FeatureId[_r_5_7_8_9], FeatureId[_r_5_7_8_10], FeatureId[_r_5_7_8_11]];7;0;24;1000
Monitor Engine;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_2_6], FeatureId[_r_2_6_9], FeatureId[_r_2_6_10], FeatureId[_r_2_6_11], FeatureId[_r_2_6_12], FeatureId[_r_2_7], FeatureId[_r_2_8], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_4_13_14], FeatureId[_r_3_4_15_16], FeatureId[_r_3_5], FeatureId[_r_3_5_17_18], FeatureId[_r_3_5_19_20], FeatureId[_r_3_5_21_22], FeatureId[_r_3_24], FeatureId[_r_3_24_25_26], FeatureId[_r_3_24_28_29]];19;0;4;1048572
VMS;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_10_11], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6_7], FeatureId[_r_8_9], FeatureId[_r_12_13], FeatureId[_r_14_15], FeatureId[_r_14_15_17], FeatureId[_r_14_15_19_20], FeatureId[_r_14_16], FeatureId[_r_14_18], FeatureId[_r_21], FeatureId[_r_22]];11;0;44;32724
Test;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_1_5_8], FeatureId[_r_1_9_10], FeatureId[_r_1_9_11], FeatureId[_r_2], FeatureId[_r_2_12], FeatureId[_r_2_13], FeatureId[_r_4], FeatureId[_r_4_14_15], FeatureId[_r_4_14_16], FeatureId[_r_4_14_17], FeatureId[_r_4_14_18]];9;3;60;32708
Car Software System;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_6_7], FeatureId[_r_6_7_10], FeatureId[_r_6_7_12], FeatureId[_r_6_8], FeatureId[_r_6_8_13], FeatureId[_r_6_8_13_14_15], FeatureId[_r_6_8_13_14_16], FeatureId[_r_6_8_17], FeatureId[_r_6_9], FeatureId[_r_6_9_18_19], FeatureId[_r_6_9_18_20], FeatureId[_r_6_9_21]];14;1;70;262074
Tata Cars;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_3], FeatureId[_r_3_9], FeatureId[_r_4], FeatureId[_r_4_11_12], FeatureId[_r_4_11_17], FeatureId[_r_4_11_18], FeatureId[_r_5], FeatureId[_r_5_19_20], FeatureId[_r_5_19_21]];9;0;24;8168
Doorlopende reisverzekering;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_12], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_13]];6;0;64;4032
IDE4OCL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_5_8], FeatureId[_r_5_9], FeatureId[_r_5_11], FeatureId[_r_5_12], FeatureId[_r_5_13], FeatureId[_r_5_14], FeatureId[_r_6], FeatureId[_r_7]];8;0;64;16320
IDE4OCL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_5_8], FeatureId[_r_5_8_15_16], FeatureId[_r_5_8_15_17], FeatureId[_r_5_8_15_18], FeatureId[_r_5_8_20], FeatureId[_r_5_9], FeatureId[_r_5_11], FeatureId[_r_5_12], FeatureId[_r_5_13], FeatureId[_r_5_14], FeatureId[_r_6], FeatureId[_r_7]];9;0;896;261248
Dummy Car;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_8], FeatureId[_r_8_9_10], FeatureId[_r_8_9_11], FeatureId[_r_8_9_12], FeatureId[_r_13_14]];8;0;9;4087
WB2;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_1_5_8], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_9_10], FeatureId[_r_3_9_11], FeatureId[_r_3_9_12], FeatureId[_r_4], FeatureId[_r_12]];5;4;200;3896
WB;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_5], FeatureId[_r_1_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_8_11_12], FeatureId[_r_8_11_13], FeatureId[_r_8_11_14], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_15]];5;4;640;15744
carpl;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_1_8_9], FeatureId[_r_1_10_11], FeatureId[_r_2]];9;0;2;1022
MiniTV;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_7], FeatureId[_r_8_9], FeatureId[_r_8_12], FeatureId[_r_8_13], FeatureId[_r_8_14], FeatureId[_r_8_17], FeatureId[_r_18], FeatureId[_r_18_19], FeatureId[_r_18_20]];7;0;248;16136
Venza;[FeatureId[_r], FeatureId[_r_4], FeatureId[_r_4_5_6], FeatureId[_r_4_5_7], FeatureId[_r_11], FeatureId[_r_11_12_13], FeatureId[_r_11_12_14], FeatureId[_r_15], FeatureId[_r_15_18], FeatureId[_r_19], FeatureId[_r_19_20_21], FeatureId[_r_19_20_24], FeatureId[_r_25], FeatureId[_r_25_26_27], FeatureId[_r_25_26_28]];11;4;4;32764
SD Voter pattern feature model;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_9_10], FeatureId[_r_9_10_12_13], FeatureId[_r_9_10_12_14], FeatureId[_r_9_10_12_15], FeatureId[_r_9_11], FeatureId[_r_9_11_16_17], FeatureId[_r_9_11_16_18], FeatureId[_r_9_11_16_19]];10;1;120;32648
Software Engineering Course;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_5], FeatureId[_r_3_6], FeatureId[_r_3_6_7_8], FeatureId[_r_3_6_7_9], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_12], FeatureId[_r_10_22], FeatureId[_r_14], FeatureId[_r_14_16], FeatureId[_r_14_17], FeatureId[_r_14_19], FeatureId[_r_14_21]];14;3;6;262138
Carro Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_2], FeatureId[_r_2_8_9], FeatureId[_r_2_8_10], FeatureId[_r_2_8_11], FeatureId[_r_4], FeatureId[_r_12], FeatureId[_r_12_13_14], FeatureId[_r_12_13_15], FeatureId[_r_16_17], FeatureId[_r_16_18]];8;2;30;16354
AudioPlayer;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_17], FeatureId[_r_1_18], FeatureId[_r_1_19], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_3], FeatureId[_r_3_9], FeatureId[_r_3_10], FeatureId[_r_3_11], FeatureId[_r_3_12], FeatureId[_r_3_15], FeatureId[_r_3_20], FeatureId[_r_3_20_23_24], FeatureId[_r_3_20_23_25], FeatureId[_r_3_21]];12;0;96;130976
KIModel;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_5], FeatureId[_r_1_4], FeatureId[_r_1_6], FeatureId[_r_1_6_9], FeatureId[_r_1_6_11], FeatureId[_r_1_6_12], FeatureId[_r_1_6_13], FeatureId[_r_1_7], FeatureId[_r_1_8]];10;0;12;8180
CTOS MODEL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5], FeatureId[_r_1_6], FeatureId[_r_3], FeatureId[_r_3_15_16], FeatureId[_r_3_15_17], FeatureId[_r_3_15_18], FeatureId[_r_4], FeatureId[_r_4_9], FeatureId[_r_4_12], FeatureId[_r_13], FeatureId[_r_13_14], FeatureId[_r_13_20]];9;1;18;16366
MyFeatureModel;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_5], FeatureId[_r_1_3_6], FeatureId[_r_2], FeatureId[_r_2_7_8], FeatureId[_r_2_7_8_10], FeatureId[_r_2_7_8_10_11_12], FeatureId[_r_2_7_8_10_11_13], FeatureId[_r_2_7_9]];8;0;35;2013
Mobile Phone, until relase 5;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_4], FeatureId[_r_4_5], FeatureId[_r_4_5_6], FeatureId[_r_4_5_7], FeatureId[_r_4_5_8], FeatureId[_r_4_5_9], FeatureId[_r_4_10], FeatureId[_r_4_11], FeatureId[_r_4_13], FeatureId[_r_4_14]];10;0;16;16368
Text Editor;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_3_4_5], FeatureId[_r_1_2_3_4_6], FeatureId[_r_1_2_3_4_7], FeatureId[_r_1_8], FeatureId[_r_9], FeatureId[_r_9_10], FeatureId[_r_9_11], FeatureId[_r_9_12]];8;2;11;4085
Mobile Media until relase 7;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_5_7], FeatureId[_r_5_7_8], FeatureId[_r_5_7_9], FeatureId[_r_5_7_10], FeatureId[_r_5_13], FeatureId[_r_5_14], FeatureId[_r_5_16], FeatureId[_r_17], FeatureId[_r_17_19_20], FeatureId[_r_17_19_21], FeatureId[_r_17_19_22]];11;0;112;130960
Adams Car;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3_4], FeatureId[_r_1_2_3_5], FeatureId[_r_1_2_3_6], FeatureId[_r_1_14], FeatureId[_r_1_14_15_16], FeatureId[_r_1_14_15_17], FeatureId[_r_8], FeatureId[_r_8_11_12], FeatureId[_r_8_11_13]];8;0;28;4068
SmartHome_vConejero_r1;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10]];10;0;2;2046
Scheduler;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_6], FeatureId[_r_2_7], FeatureId[_r_2_8], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_11], FeatureId[_r_2_12], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_5_20_21], FeatureId[_r_5_20_22], FeatureId[_r_5_20_23], FeatureId[_r_5_20_25], FeatureId[_r_27], FeatureId[_r_28_29], FeatureId[_r_28_30]];15;0;60;1048516
Technical Solution Process;[FeatureId[_r], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_12_17], FeatureId[_r_12_17_29_30], FeatureId[_r_12_17_29_31], FeatureId[_r_12_17_29_32], FeatureId[_r_12_19], FeatureId[_r_12_20], FeatureId[_r_12_22], FeatureId[_r_12_33], FeatureId[_r_13], FeatureId[_r_13_14], FeatureId[_r_13_15], FeatureId[_r_13_16]];9;1;52;32716
MyFM;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_7], FeatureId[_r_1_3_19], FeatureId[_r_2], FeatureId[_r_2_11_15], FeatureId[_r_2_11_16], FeatureId[_r_2_11_17], FeatureId[_r_20]];5;2;19;1005
ETRobocon;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_1_2_6], FeatureId[_r_7], FeatureId[_r_7_8], FeatureId[_r_7_9], FeatureId[_r_7_10], FeatureId[_r_7_11]];5;0;120;1928
G10-music player;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_8_9], FeatureId[_r_8_10], FeatureId[_r_8_11], FeatureId[_r_8_12], FeatureId[_r_8_13], FeatureId[_r_8_14]];8;0;63;8129
rtrt;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_5], FeatureId[_r_4_5_6], FeatureId[_r_4_5_7], FeatureId[_r_8], FeatureId[_r_9]];6;1;20;1004
FeatureModel1;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_8], FeatureId[_r_3], FeatureId[_r_3_4], FeatureId[_r_3_9], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_7]];6;0;16;1008
