model;features;tree_constraints;cross_constraints;valid;invalid
Weather Station;11;7;1;44;2004
Cellphone;11;7;2;14;2034
IntelligentTutoringSystem;12;7;1;84;4012
test_fm;12;9;0;8;4088
Eshop-ufrj;12;8;0;48;4048
Doorlopende reisverzekering;12;6;0;64;4032
Dummy Car;12;8;0;9;4087
WB2;12;5;4;200;3896
Text Editor;12;8;2;11;4085
Adams Car;12;8;0;28;4068
CCCMS;12;5;0;240;3856
mon model;12;9;1;24;4072
a;12;9;0;42;4054
aaaaaa;12;7;1;32;4064
Pruebas;12;11;7;7;4089
Address Book;12;6;0;72;4024
Sisgeo;12;4;0;257;3839
Multiplicador de n matrices;12;7;2;18;4078
Movil;12;7;2;28;4068
ID;12;15;0;1;4095
gs;12;5;0;168;3928
MyDental;12;8;0;42;4054
FM with optional XOR;12;7;7;21;4075
Final model;12;6;12;11;4085
Sylvain Example;12;6;12;11;4085
E-commerce system1;12;11;0;3;4093
FeatureModelName;12;9;1;8;4088
Content;12;7;2;91;4005
Attempt of mine;12;7;2;132;3964
Content;12;7;2;45;4051
Content model;12;7;2;91;4005
eLearning ways;12;4;1;397;3699
Topology;12;7;1;16;4080
This is a test;12;5;1;132;3964
Congress Assistant;12;7;0;48;4048
JCS;12;5;3;96;4000
Ooredoo;12;5;0;18;4078
M-learning Requirements Catalog;12;5;0;140;3956
TW SPL Hard Choices;12;10;0;4;4092
Jogo;12;11;1;2;4094
rotation;12;16;0;3;4093
Online Shop Feature Model;12;7;0;42;4054
ABMS;12;5;0;246;3850
search engine;12;8;0;32;4064
Reservation;12;6;0;9;4087
tab;12;8;0;16;4080
HDMR-Paper;12;6;1;7;4089
Telecommunication_System;12;8;2;18;4078
Aircraft PL;13;7;0;315;7877
CFDP Library;13;6;5;319;7873
CFDP Library;13;6;0;624;7568
Tata Cars;13;9;0;24;8168
KIModel;13;10;0;12;8180
G10-music player;13;8;0;63;8129
RE;13;7;0;96;8096
FM1;13;13;0;1;8191
Parking lot Manager;13;9;2;16;8176
Veículo;13;5;0;80;8112
Car;13;9;0;42;8150
Homepage based on wiki;13;9;0;28;8164
Toyota Feature Model;13;8;1;16;8176
NCV_Simulation;13;11;0;18;8174
i18n;13;8;0;18;8174
MiniRPG;13;9;0;16;8176
Mobile Media;13;9;2;24;8168
Analisis;13;10;5;8;8184
Alarm System;13;9;2;42;8150
LMF;13;12;0;2;8190
Wewq;13;13;0;1;8191
Video On Demand SPL FM;13;10;4;16;8176
Video On Demand FM;13;10;4;16;8176
MyHolidays;13;7;0;112;8080
PortafolioLopez;13;8;0;84;8108
Phone;13;6;3;76;8116
cell phones SPL;13;10;3;16;8176
FMConfig;13;6;2;135;8057
Cell-Phone-SPL-2014;13;10;3;16;8176
Cell-Phone-SPL-2014-Part2;13;8;9;30;8162
Cell-Phone-SPL-2014-Mined;13;7;9;31;8161
Magister 2014-ROLOG;13;7;0;96;8096
MarketPlace-Sample;13;12;0;3;8189
teste;13;10;0;12;8180
SPL Studies;13;11;0;45;8147
Content;13;7;1;231;7961
Stamppy;13;9;0;28;8164
search-engine;13;6;2;108;8084
Javed Test 2;13;6;0;448;7744
MoviesApp;13;10;0;54;8138
Movie System;13;10;0;24;8168
SmartHotel;13;7;1;102;8090
Smart Queue;13;13;0;4;8188
Online shopping software;13;13;1;2;8190
2 - Eleição de um prefeito e um Vereador;13;9;0;49;8143
Visit Indonesia Apps;13;8;2;84;8108
Priscilinha;13;13;0;2;8190
Home;13;6;1;124;8068
Windows .NET;13;9;0;16;8176
HADAS-security;13;5;0;9;8183
Ligne de produits de Eshop;13;8;1;20;8172
MobilePhone;13;10;3;16;8176
smartPhone;13;8;1;93;8099
MPES2016-2.Reuso2;13;10;2;6;8186
Tripeo;13;10;0;12;8180
search-engine;13;7;2;76;8116
depresija;13;7;0;127;8065
MoviesApp PL;13;10;0;24;8168
