model;features;tree_constraints;cross_constraints;valid;invalid
Weather Station;11;7;1;44;2004
Cellphone;11;7;2;14;2034
IntelligentTutoringSystem;12;7;1;84;4012
test_fm;12;9;0;8;4088
Eshop-ufrj;12;8;0;48;4048
Doorlopende reisverzekering;12;6;0;64;4032
Dummy Car;12;8;0;9;4087
WB2;12;5;4;200;3896
Text Editor;12;8;2;11;4085
Adams Car;12;8;0;28;4068
CCCMS;12;5;0;240;3856
mon model;12;9;1;24;4072
a;12;9;0;42;4054
aaaaaa;12;7;1;32;4064
Pruebas;12;11;7;7;4089
Address Book;12;6;0;72;4024
Sisgeo;12;4;0;257;3839
Multiplicador de n matrices;12;7;2;18;4078
Movil;12;7;2;28;4068
ID;12;15;0;1;4095
gs;12;5;0;168;3928
MyDental;12;8;0;42;4054
FM with optional XOR;12;7;7;21;4075
Final model;12;6;12;11;4085
Sylvain Example;12;6;12;11;4085
E-commerce system1;12;11;0;3;4093
FeatureModelName;12;9;1;8;4088
Content;12;7;2;91;4005
Attempt of mine;12;7;2;132;3964
Content;12;7;2;45;4051
Content model;12;7;2;91;4005
eLearning ways;12;4;1;397;3699
Topology;12;7;1;16;4080
This is a test;12;5;1;132;3964
Congress Assistant;12;7;0;48;4048
JCS;12;5;3;96;4000
Ooredoo;12;5;0;18;4078
M-learning Requirements Catalog;12;5;0;140;3956
TW SPL Hard Choices;12;10;0;4;4092
Jogo;12;11;1;2;4094
rotation;12;16;0;3;4093
Online Shop Feature Model;12;7;0;42;4054
ABMS;12;5;0;246;3850
search engine;12;8;0;32;4064
Reservation;12;6;0;9;4087
tab;12;8;0;16;4080
HDMR-Paper;12;6;1;7;4089
Telecommunication_System;12;8;2;18;4078
